,epoch,corrects,acc_total
63,63,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9843633770942688
64,64,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9843633770942688
65,65,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9843633770942688
66,66,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9843633770942688
67,67,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9843633770942688
68,68,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9843633770942688
69,69,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9843633770942688
70,70,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9843633770942688
71,71,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9843633770942688
72,72,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9843633770942688
73,73,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9843633770942688
74,74,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9843633770942688
75,75,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9843633770942688
76,76,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.985107958316803
77,77,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.985107958316803
78,78,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.985107958316803
79,79,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.985107958316803
80,80,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.985107958316803
81,81,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.985107958316803
82,82,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.985107958316803
83,83,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.985107958316803
84,84,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.985107958316803
85,85,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.985107958316803
86,86,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.985107958316803
87,87,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.985107958316803
88,88,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.985107958316803
89,89,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.985107958316803
90,90,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.985107958316803
91,91,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.985107958316803
92,92,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.985107958316803
93,93,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.985107958316803
94,94,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.985107958316803
95,95,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.985107958316803
96,96,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
97,97,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.985107958316803
98,98,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
99,99,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
100,100,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
101,101,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
102,102,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
103,103,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
104,104,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
105,105,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
106,106,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
107,107,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
108,108,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
109,109,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
110,110,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
111,111,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
112,112,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
113,113,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
114,114,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
115,115,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
116,116,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
117,117,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
118,118,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
119,119,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9865971803665161
120,120,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
121,121,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
122,122,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
123,123,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9865971803665161
124,124,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
125,125,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
